CompanyName,Sector,Category,Last Price,NAV,P/E,EPS,Paid up,Dir,Pub,Inst,Foreign,Govt
GHCL,Pharmaceuticals & Chemicals,B,39.8,56.46,33.73,1.18,919,69.03,10.51,20.46,0,0
ACTIVEFINE,Pharmaceuticals & Chemicals,B,26.6,24.71,8.96,2.97,2598.37,12.04,49.95,34.9,3.11,0
JMISMDL,Pharmaceuticals & Chemicals,A,378.8,123.66,87.08,4.35,420,79.65,16.57,3.78,0,0
BXPHARMA,Pharmaceuticals & Chemicals,A,185.5,82.12,21.40,8.67,4254.56,13.19,20.99,33.06,36.7,0
FARCHEM,Pharmaceuticals & Chemicals,A,15.9,15.96,48.18,0.33,2379.93,30.24,55.61,14.15,0,0
AFCAGRO,Pharmaceuticals & Chemicals,A,26.8,19.85,83.75,0.32,1351.16,30.29,32.42,37.29,0,0
CENTRALPHL,Pharmaceuticals & Chemicals,B,17.1,8.6,-1.85,-9.24,1397.01,25.89,61.66,12.45,0,0
ADVENT,Pharmaceuticals & Chemicals,A,29.8,15.5,21.13,1.41,1029.06,31.44,47.36,21.33,0,0
LIBRAINFU,Pharmaceuticals & Chemicals,A,577.1,3,549.62,1.05,214.02,34.43,59.94,5.63,0,0
RENATA,Pharmaceuticals & Chemicals,A,1370.1,247.65,30.25,45.29,1084.89,51.18,8.07,18.01,22.74,0
ACIFORMULA,Pharmaceuticals & Chemicals,A,161.4,55.38,78.35,2.06,649,66.02,6.22,27.76,0,0
ACI,Pharmaceuticals & Chemicals,A,274.7,139.67,-14.89,-18.45,772.73,35.28,27.09,37.63,0,0
IBNSINA,Pharmaceuticals & Chemicals,A,257.1,58.74,20.68,12.43,511.44,44.44,34.64,20.92,0,0
SALVOCHEM,Pharmaceuticals & Chemicals,B,39.7,14.46,132.33,0.3,849.23,22.14,62.79,15.07,0,0
WATACHEM,Pharmaceuticals & Chemicals,A,301.1,61.02,37.40,8.05,347.23,36.41,25.59,38,0,0
AMBEEPHA,Pharmaceuticals & Chemicals,A,417.9,26.1,274.93,1.52,223,75.25,18.9,5.85,0,0
IMAMBUTTON,Pharmaceuticals & Chemicals,Z,30.5,7.32,-62.24,-0.49,276,29.24,61.75,9.01,0,0
KOHINOOR,Pharmaceuticals & Chemicals,A,415,51.34,49.88,8.32,400.83,48.72,36.17,15.11,0,0
RECKITTBEN,Pharmaceuticals & Chemicals,A,4478.6,172.95,28.64,156.38,246.25,82.96,6.09,4.14,3.04,3.77
BEACONPHAR,Pharmaceuticals & Chemicals,B,154.8,22.04,93.82,1.65,2509,30,33.53,36.47,0,0
EHL,Services & Real Estate,A,56.5,64.47,18.11,3.12,1132.45,50.09,18.61,31.3,0,0
SAIFPOWER,Services & Real Estate,A,28.1,18.63,24.65,1.14,3607.25,40.06,39.06,20.88,0,0
SAMORITA,Services & Real Estate,A,80.9,51.23,475.88,0.17,387.75,39.33,48.08,12.58,0.01,0
SAPORTL,Services & Real Estate,A,30.4,35.84,36.19,0.84,2521,58.99,25.48,11.68,3.85,0
FORTUNE,Tannery Industries,A,55.7,15.63,69.63,0.8,1673.24,30.93,52.43,16.64,0,0
LEGACYFOOT,Tannery Industries,B,71.5,12.43,-9.70,-7.37,329.8,30,60.02,9.98,0,0
SAMATALETH,Tannery Industries,B,95,16.39,1055.56,0.09,302.2,33.86,60.78,5.36,0,0
APEXFOOT,Tannery Industries,A,237,251.95,42.17,5.62,312,25.48,37.28,37.14,0.1,0
APEXTANRY,Tannery Industries,A,120.5,3.41,1.89,63.89,351,30.4,35.05,28.75,0,0
BATASHOE,Tannery Industries,A,656,4.26,2.45,267.94,335.8,70,9.04,19.15,1.81,0
ROBI,Telecommunication,N,47.1,15.9,142.73,0.33,199,90.05,7.9,2.05,0,0
GP,Telecommunication,A,363,30.4,13.18,27.54,13702,90,2.18,4.66,3.16,0
BSCCL,Telecommunication,A,178.3,42.93,30.74,5.8,1848,0,10.15,13.33,2.68,73.84
HRTEX,Textile,A,64.4,44.78,58.02,1.11,452,50.64,41.6,7.76,0,0
MLDYEING,Textile,A,33.4,18.39,36.70,0.91,2523.34,31.4,24.16,22.55,21.89,0
REGENTTEX,Textile,B,13,32.21,-41.94,-0.31,1485.12,54.55,40.69,4.76,0,0
FAMILYTEX,Textile,Z,7.5,13.63,-49.67,-0.151,3740.6,4.02,77.57,18.41,0,0
ACFL,Textile,A,52,41.68,108.33,0.48,1207.33,72.2,19.01,8.77,0.02,0
GENNEXT,Textile,Z,8.7,13.9,870.00,0.01,5148.75,13.82,63.16,23.02,0,0
MAKSONSPIN,Textile,B,21.6,2.79,-58.38,-0.37,2581.33,30,52.31,17.69,0,0
PTL,Textile,A,58,26.26,13.00,4.46,1749.8,60.96,22.34,12.6,4.1,0
RINGSHINE,Textile,A,12.2,19.39,42.07,0.29,199,31.54,44.81,23.52,0.13,0
STYLECRAFT,Textile,A,157.4,28.96,296.98,0.53,337.85,41.93,50.99,7.08,0,0
QUEENSOUTH,Textile,A,31.6,18.62,32.92,0.96,1507.76,53.23,14.08,15.82,16.87,0
DACCADYE,Textile,Z,24.2,10.36,186.15,0.13,1070.53,30.45,50.75,15.58,0.22,0
DSSL,Textile,A,20,20.98,16.26,1.23,2206.56,32.17,53.04,14.79,0,0
PDL,Textile,A,15.8,16.64,29.26,0.54,2016.33,30.97,43.51,25.5,0.02,0
CNATEX,Textile,Z,8.1,18.74,7.11,1.14,2592.16,22.14,62.19,15.67,0,0
SONARGAON,Textile,B,26.8,26.43,-7.20,-3.72,463.67,44.55,53.63,1.8,0,0
MATINSPINN,Textile,A,56.6,51.29,26.20,2.16,1173.9,32.72,10.96,56.32,0,0
ALIF,Textile,A,15.6,16.5,21.08,0.74,2798.27,30.46,53.47,16.07,0,0
DELTASPINN,Textile,B,12.2,16.41,42.07,0.29,1863.82,18.07,63.66,18.27,0,0
SAIHAMCOT,Textile,A,20.1,37.97,-31.41,-0.64,1686.75,42.4,45.33,12.27,0,0
PRIMETEX,Textile,B,24,2.54,-8.99,-2.67,581,50,41.3,8.45,0.25,0
ARGONDENIM,Textile,A,27.4,29.21,17.91,1.53,1521.75,36.08,26.25,37.67,0,0
METROSPIN,Textile,B,19.8,16.53,247.50,0.08,815.98,30.09,60.68,9.23,0,0
MALEKSPIN,Textile,A,30.9,3.74,-18.39,-1.68,2135,47.34,19.6,33.06,0,0
KTL,Textile,A,32.1,19.63,22.45,1.43,1362.05,30.32,61.13,8.41,0.14,0
ZAHINTEX,Textile,B,11.6,24.49,-3.08,-3.77,1017.29,36.94,40.47,22.45,0,0
AL-HAJTEX,Textile,B,44.6,10.45,-47.96,-0.93,421.99,12.78,74.64,12.55,0,0.03
VFSTDL,Textile,A,27.6,19.93,18.52,1.49,1224.05,30.88,41.42,9.4,18.3,0
FEKDIL,Textile,A,17.7,21.36,53.64,0.33,2386.44,67.2,19.75,13.05,0,0
ESQUIRENIT,Textile,A,37.9,52.61,19.24,1.97,1547.96,46.95,13,40.05,0,0
RNSPIN,Textile,Z,8.8,20.34,-10.00,-0.88,4124.45,30,57.59,12.39,0.02,0
TOSRIFA,Textile,B,19.7,30.71,-6.86,-2.87,862.27,49.72,26.01,24.27,0,0
NURANI,Textile,A,11.9,3.18,-29.02,-0.41,1425.25,30.93,51.79,17.28,0,0
AIL,Textile,A,39.2,22.83,14.31,2.74,641.52,33.35,56.86,9.79,0,0
SHEPHERD,Textile,A,19.9,17.79,-132.67,-0.15,1701.89,51.48,18.59,11.53,18.4,0
SIMTEX,Textile,A,20.4,23,36.43,0.56,994.95,32.69,48.63,18.39,0.29,0
MHSML,Textile,B,20.3,17.2,-17.06,-1.19,1208.93,39.61,30.73,29.6,0.06,0
APEXSPINN,Textile,A,131.6,56.17,88.92,1.48,283,54.81,20,24.75,0.44,0
NEWLINE,Textile,A,30.7,25.83,26.93,1.14,984.33,30.8,55.12,14.06,0,0
TALLUSPIN,Textile,Z,9.9,13.97,-8.76,-1.13,1092.35,30,47.25,22.6,0.15,0
ANLIMAYARN,Textile,B,40.7,12.69,290.71,0.14,377.68,47.22,43.29,9.49,0,0
ALLTEX,Textile,Z,15,17.78,-2.74,-5.47,758.68,40.74,53.24,6.02,0,0
SHASHADNIM,Textile,A,27.7,45.48,12.88,2.15,1609.36,37.56,43.1,18.22,1.12,0
ZAHEENSPIN,Textile,B,12.8,10.78,-3.78,-3.39,1337.28,31.1,43.2,25.7,0,0
SAFKOSPINN,Textile,B,25.8,19.23,-4.53,-5.69,498.82,30,69.05,0.95,0,0
